"focalid","role","dyadid","outcome","focalcode","partcode","obs"
105,2,1052,1.16666666666667,1,0,10522
105,1,1053,1.83333333333333,0,1,10531
105,2,1053,1.5,1,0,10532
108,1,1081,2,0,1,10811
108,2,1081,1,1,0,10812
108,1,1082,1.66666666666667,0,1,10821
108,2,1082,1,1,0,10822
108,1,1083,1.83333333333333,0,1,10831
108,2,1083,1.16666666666667,1,0,10832
110,1,1101,1.83333333333333,0,1,11011
110,2,1101,1,1,0,11012
110,1,1102,2,0,1,11021
110,2,1102,1,1,0,11022
110,1,1103,3.5,0,1,11031
110,2,1103,2,1,0,11032
111,1,1111,1.66666666666667,0,1,11111
111,2,1111,2,1,0,11112
111,1,1112,1,0,1,11121
111,2,1112,1.16666666666667,1,0,11122
111,1,1113,1.16666666666667,0,1,11131
111,2,1113,1.16666666666667,1,0,11132
112,1,1121,3.5,0,1,11211
112,2,1121,2.16666666666667,1,0,11212
112,1,1122,1.5,0,1,11221
112,2,1122,2.16666666666667,1,0,11222
112,1,1123,1.83333333333333,0,1,11231
112,2,1123,1.5,1,0,11232
113,1,1131,1,0,1,11311
113,2,1131,2.83333333333333,1,0,11312
113,1,1132,1.66666666666667,0,1,11321
113,2,1132,2.16666666666667,1,0,11322
113,1,1133,1,0,1,11331
113,2,1133,1.16666666666667,1,0,11332
114,1,1141,2.33333333333333,0,1,11411
114,2,1141,1.16666666666667,1,0,11412
114,1,1142,1,0,1,11421
114,2,1142,1,1,0,11422
114,1,1143,1,0,1,11431
114,2,1143,1,1,0,11432
118,1,1181,1.83333333333333,0,1,11811
118,2,1181,1.16666666666667,1,0,11812
118,1,1182,1.5,0,1,11821
118,2,1182,1,1,0,11822
118,1,1183,2,0,1,11831
118,2,1183,1,1,0,11832
120,1,1201,1.16666666666667,0,1,12011
120,2,1201,3,1,0,12012
120,1,1202,1.66666666666667,0,1,12021
120,2,1202,1.33333333333333,1,0,12022
120,1,1203,1.5,0,1,12031
120,2,1203,1.16666666666667,1,0,12032
125,1,1251,1.83333333333333,0,1,12511
125,2,1251,2.5,1,0,12512
125,1,1252,1,0,1,12521
125,2,1252,1.16666666666667,1,0,12522
125,1,1253,1,0,1,12531
125,2,1253,1.5,1,0,12532
138,1,1381,1,0,1,13811
138,2,1381,1.66666666666667,1,0,13812
138,1,1382,2.66666666666667,0,1,13821
138,2,1382,2.33333333333333,1,0,13822
138,1,1383,1.83333333333333,0,1,13831
138,2,1383,2.83333333333333,1,0,13832
142,1,1421,2,0,1,14211
142,2,1421,1,1,0,14212
142,1,1422,2,0,1,14221
142,2,1422,1,1,0,14222
142,1,1423,1.83333333333333,0,1,14231
142,2,1423,1.33333333333333,1,0,14232
148,1,1481,1.5,0,1,14811
148,2,1481,1.16666666666667,1,0,14812
148,1,1482,1.16666666666667,0,1,14821
148,2,1482,1.16666666666667,1,0,14822
148,1,1483,2.5,0,1,14831
148,2,1483,1.66666666666667,1,0,14832
153,1,1531,1.66666666666667,0,1,15311
153,2,1531,1.16666666666667,1,0,15312
153,1,1532,1.83333333333333,0,1,15321
153,2,1532,1.33333333333333,1,0,15322
153,1,1533,2.5,0,1,15331
153,2,1533,2,1,0,15332
155,1,1551,2,0,1,15511
155,2,1551,5,1,0,15512
155,1,1552,2.66666666666667,0,1,15521
155,2,1552,1.66666666666667,1,0,15522
155,1,1553,2,0,1,15531
155,2,1553,1.33333333333333,1,0,15532
160,1,1601,2.16666666666667,0,1,16011
160,2,1601,1,1,0,16012
160,1,1602,1.83333333333333,0,1,16021
160,2,1602,1,1,0,16022
160,1,1603,1.83333333333333,0,1,16031
160,2,1603,1,1,0,16032
161,1,1611,3,0,1,16111
161,2,1611,3,1,0,16112
161,1,1612,1.5,0,1,16121
161,2,1612,1,1,0,16122
161,1,1613,3.66666666666667,0,1,16131
161,2,1613,1.66666666666667,1,0,16132
165,1,1651,1,0,1,16511
165,2,1651,1.16666666666667,1,0,16512
165,1,1652,1.33333333333333,0,1,16521
165,2,1652,1,1,0,16522
165,1,1653,3.66666666666667,0,1,16531
165,2,1653,3.42261904761905,1,0,16532
166,1,1661,3,0,1,16611
166,2,1661,1,1,0,16612
166,1,1662,3.16666666666667,0,1,16621
166,2,1662,2.5,1,0,16622
166,1,1663,3.66666666666667,0,1,16631
166,2,1663,1.5,1,0,16632
168,1,1681,3.83333333333333,0,1,16811
168,2,1681,3,1,0,16812
168,1,1682,1.16666666666667,0,1,16821
168,2,1682,1.33333333333333,1,0,16822
168,1,1683,2.5,0,1,16831
168,2,1683,3,1,0,16832
170,1,1701,1.33333333333333,0,1,17011
170,2,1701,3.16666666666667,1,0,17012
170,1,1702,1.16666666666667,0,1,17021
170,2,1702,1.33333333333333,1,0,17022
170,1,1703,1.66666666666667,0,1,17031
170,2,1703,1.83333333333333,1,0,17032
171,1,1711,3.16666666666667,0,1,17111
171,2,1711,2.5,1,0,17112
171,1,1712,2.83333333333333,0,1,17121
171,2,1712,1.33333333333333,1,0,17122
171,1,1713,2.83333333333333,0,1,17131
171,2,1713,2,1,0,17132
179,1,1791,1.33333333333333,0,1,17911
179,2,1791,1.33333333333333,1,0,17912
179,1,1792,1.5,0,1,17921
179,2,1792,1.33333333333333,1,0,17922
179,1,1793,1.5,0,1,17931
179,2,1793,1.66666666666667,1,0,17932
182,1,1821,1.5,0,1,18211
182,2,1821,1.66666666666667,1,0,18212
182,1,1822,1.5,0,1,18221
182,2,1822,1.33333333333333,1,0,18222
182,1,1823,2.16666666666667,0,1,18231
182,2,1823,1.5,1,0,18232
183,1,1831,3,0,1,18311
183,2,1831,2.16666666666667,1,0,18312
183,1,1832,2.83333333333333,0,1,18321
183,2,1832,1,1,0,18322
183,1,1833,1.5,0,1,18331
183,2,1833,1.66666666666667,1,0,18332
193,1,1931,1,0,1,19311
193,2,1931,1,1,0,19312
193,1,1932,1.66666666666667,0,1,19321
193,2,1932,1,1,0,19322
193,1,1933,1,0,1,19331
193,2,1933,1,1,0,19332
194,1,1941,2.16666666666667,0,1,19411
194,2,1941,1.16666666666667,1,0,19412
194,1,1942,1.5,0,1,19421
194,2,1942,1.83333333333333,1,0,19422
194,1,1943,1.16666666666667,0,1,19431
194,2,1943,1.83333333333333,1,0,19432
197,1,1971,2.16666666666667,0,1,19711
197,2,1971,3.83333333333333,1,0,19712
197,1,1972,1,0,1,19721
197,2,1972,2.66666666666667,1,0,19722
197,1,1973,2.83333333333333,0,1,19731
197,2,1973,2.66666666666667,1,0,19732
198,1,1981,1,0,1,19811
198,2,1981,1,1,0,19812
198,1,1982,1,0,1,19821
198,2,1982,1,1,0,19822
198,1,1983,1,0,1,19831
198,2,1983,1.33333333333333,1,0,19832
236,1,2361,1.92560801144492,0,1,23611
236,2,2361,4.16666666666667,1,0,23612
